帳號名稱,賣家,價格(USD),價格(TWD),手續費(TWD),總價(TWD),分數,類別,商品連結,幣別,價格分,內容分,內容全文,帳號價值分析,抓取時間
[CHT] 480 pulls / Crown Lunala + Random Live View Card / 750 Pack Sandglasses / 890 Challenge Sandglasses / 300 Shop Tickets /,Freesinging,1.63,52.16,2.61,54.77,24,初始號,https://www.g2g.com/categories/pokemon-tcg-pocket-accounts/offer/G1765699753216WI,USD,3.07,38,"Buy [CHT] 480 pulls / Crown Lunala + Random Live View Card / 750 Pack Sandglasses / 890 Challenge Sandglasses / 300 Shop Tickets / from Freesinging | g2g.com | Buy safe TW 成为卖家 登录 / 注册 首页 > 游戏账号 > Pokemon TCG Pocket [CHT] 480 pulls / Crown Lunala + Random Live View Card / 750 Pack Sandglasses / 890 Challenge Sandglasses / 300 Shop Tickets / 产品信息 交易时间 立即 交易方式 自动发货 Platform Android [CHT] 480 pulls / Crown Lunala + Random Live View Card / 750 Pack Sandglasses / 890 Challenge Sandglasses / 300 Shop Tickets / 24 Pokémon Gold Bricks / Android & iOS verified_user 免费保险 14天 1 可用库存 remove add 总额 1.63 USD 立即购买 thumb_up 0.00% 已售出0 Freesinging 用户等级 105 116 聊天 military_tech 99.67% 完单率 store 加入时间, 2025年2月20日 thumb_up 98.72% 全部评价 Rare Seller G2G是一个全面的游戏相关产品在线市场。我们致力于为游戏社区的利益创新。 © 2026 G2G.com 关于我们 服务条款 协议条款 隐私政策 帮助中心 日间模式",初始號；命中關鍵字：crown(+20)、gold(+14)、pack(+4)；綜合表現中等，建議比對賣家評價後再決定,2026-04-02T17:43:03
[CHT] 480 pulls / Crown Mewtwo + random live-action card / 750 packs of hourglasses / 890 challenge hourglasses /,Freesinging,1.63,52.16,2.61,54.77,32,初始號,https://www.g2g.com/categories/pokemon-tcg-pocket-accounts/offer/G1765699789637PI,USD,3.07,52,"Buy [CHT] 480 pulls / Crown Mewtwo + random live-action card / 750 packs of hourglasses / 890 challenge hourglasses / from Freesinging | g2g.com | Buy safe TW 成为卖家 登录 / 注册 首页 > 游戏账号 > Pokemon TCG Pocket [CHT] 480 pulls / Crown Mewtwo + random live-action card / 750 packs of hourglasses / 890 challenge hourglasses / 产品信息 交易时间 立即 交易方式 自动发货 Platform Android [CHT] 480 pulls / Crown Mewtwo + random live-action card / 750 packs of hourglasses / 890 challenge hourglasses / 300 shop vouchers / 24 Pokémon gold bricks / Android & iOS verified_user 免费保险 14天 1 可用库存 remove add 总额 1.63 USD 立即购买 thumb_up 0.00% 已售出0 Freesinging 用户等级 105 116 聊天 military_tech 99.67% 完单率 store 加入时间, 2025年2月20日 thumb_up 98.72% 全部评价 Rare Seller G2G是一个全面的游戏相关产品在线市场。我们致力于为游戏社区的利益创新。 © 2026 G2G.com 关于我们 服务条款 协议条款 隐私政策 帮助中心 日间模式",初始號；命中關鍵字：crown(+20)、gold(+14)、ur(+8)；綜合表現中等，建議比對賣家評價後再決定,2026-04-02T17:43:03
[CHT] 480 draws / Crown Dream + Random Reality Card / 750 Pack Sandglasses / 890 Challenge Sandglasses / 300 Shop Tickets /,Freesinging,1.63,52.16,2.61,54.77,24,初始號,https://www.g2g.com/categories/pokemon-tcg-pocket-accounts/offer/G1765699816379JO,USD,3.07,38,"Buy [CHT] 480 draws / Crown Dream + Random Reality Card / 750 Pack Sandglasses / 890 Challenge Sandglasses / 300 Shop Tickets / from Freesinging | g2g.com | Buy safe TW 成为卖家 登录 / 注册 首页 > 游戏账号 > Pokemon TCG Pocket [CHT] 480 draws / Crown Dream + Random Reality Card / 750 Pack Sandglasses / 890 Challenge Sandglasses / 300 Shop Tickets / 产品信息 交易时间 立即 交易方式 自动发货 Platform Android [CHT] 480 draws / Crown Dream + Random Reality Card / 750 Pack Sandglasses / 890 Challenge Sandglasses / 300 Shop Tickets / 24 Pokémon Gold Bricks / Android & iOS verified_user 免费保险 14天 1 可用库存 remove add 总额 1.63 USD 立即购买 thumb_up 0.00% 已售出0 Freesinging 用户等级 105 116 聊天 military_tech 99.67% 完单率 store 加入时间, 2025年2月20日 thumb_up 98.72% 全部评价 Rare Seller G2G是一个全面的游戏相关产品在线市场。我们致力于为游戏社区的利益创新。 © 2026 G2G.com 关于我们 服务条款 协议条款 隐私政策 帮助中心 日间模式",初始號；命中關鍵字：crown(+20)、gold(+14)、pack(+4)；綜合表現中等，建議比對賣家評價後再決定,2026-04-02T17:43:03
[CHT] 480 pulls / Crown Palkia + random live-action card / 750 packs of hourglasses / 890 challenge hourglasses /,Freesinging,1.63,52.16,2.61,54.77,29,初始號,https://www.g2g.com/categories/pokemon-tcg-pocket-accounts/offer/G1765699854997PT,USD,3.07,46,"Buy [CHT] 480 pulls / Crown Palkia + random live-action card / 750 packs of hourglasses / 890 challenge hourglasses / from Freesinging | g2g.com | Buy safe TW 成为卖家 登录 / 注册 首页 > 游戏账号 > Pokemon TCG Pocket [CHT] 480 pulls / Crown Palkia + random live-action card / 750 packs of hourglasses / 890 challenge hourglasses / 产品信息 交易时间 立即 交易方式 自动发货 Platform Android [CHT] 480 pulls / Crown Palkia + random live-action card / 750 packs of hourglasses / 890 challenge hourglasses / 300 shop tickets / 24 Pokémon gold bricks / Android & iOS verified_user 免费保险 14天 1 可用库存 remove add 总额 1.63 USD 立即购买 thumb_up 0.00% 已售出0 Freesinging 用户等级 105 116 聊天 military_tech 99.67% 完单率 store 加入时间, 2025年2月20日 thumb_up 98.72% 全部评价 Rare Seller G2G是一个全面的游戏相关产品在线市场。我们致力于为游戏社区的利益创新。 © 2026 G2G.com 关于我们 服务条款 协议条款 隐私政策 帮助中心 日间模式",初始號；命中關鍵字：crown(+20)、gold(+14)、ur(+8)；綜合表現中等，建議比對賣家評價後再決定,2026-04-02T17:43:03
[CHT] 480 pulls / Crown Arceus + random live-action card / 750 pack sands / 890 challenge sands / 300 shop vouchers /,Freesinging,1.63,52.16,2.61,54.77,24,初始號,https://www.g2g.com/categories/pokemon-tcg-pocket-accounts/offer/G1773233738105ON,USD,3.07,38,"Buy [CHT] 480 pulls / Crown Arceus + random live-action card / 750 pack sands / 890 challenge sands / 300 shop vouchers / from Freesinging | g2g.com | Buy safe TW 成为卖家 登录 / 注册 首页 > 游戏账号 > Pokemon TCG Pocket [CHT] 480 pulls / Crown Arceus + random live-action card / 750 pack sands / 890 challenge sands / 300 shop vouchers / 产品信息 交易时间 立即 交易方式 自动发货 Platform Android [CHT] 480 pulls / Crown Arceus + random live-action card / 750 pack sands / 890 challenge sands / 300 shop vouchers / 24 Pokémon gold bricks / Android & iOS verified_user 免费保险 14天 100 可用库存 remove add 总额 1.63 USD 立即购买 thumb_up 0.00% 已售出0 Freesinging 用户等级 105 116 聊天 military_tech 99.67% 完单率 store 加入时间, 2025年2月20日 thumb_up 98.72% 全部评价 Rare Seller G2G是一个全面的游戏相关产品在线市场。我们致力于为游戏社区的利益创新。 © 2026 G2G.com 关于我们 服务条款 协议条款 隐私政策 帮助中心 日间模式",初始號；命中關鍵字：crown(+20)、gold(+14)、pack(+4)；綜合表現中等，建議比對賣家評價後再決定,2026-04-02T17:43:03
"Global Server | Random Phase 9 | 1230 Pulls Includes: 39x Golden Transfer Tickets, 2500x Gacha Tickets, 1900x Challenge Tickets",HaloShop,1.66,53.12,2.66,55.78,22,初始號,https://www.g2g.com/categories/pokemon-tcg-pocket-accounts/offer/G1770188632352IG,USD,3.21,34,"Buy Global Server | Random Phase 9 | 1230 Pulls Includes: 39x Golden Transfer Tickets, 2500x Gacha Tickets, 1900x Challenge Tickets from HaloShop | g2g.com | Buy safe TW 成为卖家 登录 / 注册 首页 > 游戏账号 > Pokemon TCG Pocket Global Server | Random Phase 9 | 1230 Pulls Includes: 39x Golden Transfer Tickets, 2500x Gacha Tickets, 1900x Challenge Tickets 产品信息 交易时间 10分钟 Platform Android Global Server | Random Phase 9 | 1230 Pulls Includes: 39x Golden Transfer Tickets, 2500x Gacha Tickets, 1900x Challenge Tickets Guaranteed: Random Crown Card verified_user 免费保险 14天 19.9k 可用库存 remove add 总额 1.66 USD 立即购买 thumb_up 0.00% 已售出0 HaloShop 用户等级 36 3 聊天 military_tech 100% 完单率 store 加入时间, 2025年8月20日 thumb_up 99.14% 全部评价 Normal Seller G2G是一个全面的游戏相关产品在线市场。我们致力于为游戏社区的利益创新。 © 2026 G2G.com 关于我们 服务条款 协议条款 隐私政策 帮助中心 日间模式",初始號；命中關鍵字：crown(+20)、gold(+14)；綜合表現中等，建議比對賣家評價後再決定,2026-04-02T17:43:03
"Global Server | Random Phase 0 | 1366 Pulls Includes: 30x Golden Transfer Tickets, 3000x Gacha Tickets, 1000x Challenge Tickets",HaloShop,1.66,53.12,2.66,55.78,14,初始號,https://www.g2g.com/categories/pokemon-tcg-pocket-accounts/offer/G1770188841398AZ,USD,3.21,22,"Buy Global Server | Random Phase 0 | 1366 Pulls Includes: 30x Golden Transfer Tickets, 3000x Gacha Tickets, 1000x Challenge Tickets from HaloShop | g2g.com | Buy safe TW 成为卖家 登录 / 注册 首页 > 游戏账号 > Pokemon TCG Pocket Global Server | Random Phase 0 | 1366 Pulls Includes: 30x Golden Transfer Tickets, 3000x Gacha Tickets, 1000x Challenge Tickets 产品信息 交易时间 10分钟 Platform Android Global Server | Random Phase 0 | 1366 Pulls Includes: 30x Golden Transfer Tickets, 3000x Gacha Tickets, 1000x Challenge Tickets Shop Currency: 5000, Cards: 2000 Guaranteed: Random Event Card x1-6 收回 verified_user 免费保险 14天 1 可用库存 remove add 总额 1.66 USD 立即购买 thumb_up 0.00% 已售出0 HaloShop 用户等级 36 3 聊天 military_tech 100% 完单率 store 加入时间, 2025年8月20日 thumb_up 99.14% 全部评价 Normal Seller G2G是一个全面的游戏相关产品在线市场。我们致力于为游戏社区的利益创新。 © 2026 G2G.com 关于我们 服务条款 协议条款 隐私政策 帮助中心 日间模式",初始號；命中關鍵字：gold(+14)、ur(+8)；綜合表現中等，建議比對賣家評價後再決定,2026-04-02T17:43:03
(Global) 1366 Lottery includes: 30 Pokémon Gold Bricks + 3000 Pack Sandglasses + 1000 Challenge Sandglasses + 5000 Shop Tickets,AliceGame,1.67,53.44,2.67,56.11,12,初始號,https://www.g2g.com/categories/pokemon-tcg-pocket-accounts/offer/G1772757545069FH,USD,3.25,18,"Buy (Global) 1366 Lottery includes: 30 Pokémon Gold Bricks + 3000 Pack Sandglasses + 1000 Challenge Sandglasses + 5000 Shop Tickets from AliceGame | g2g.com | Buy safe TW 成为卖家 登录 / 注册 首页 > 游戏账号 > Pokemon TCG Pocket (Global) 1366 Lottery includes: 30 Pokémon Gold Bricks + 3000 Pack Sandglasses + 1000 Challenge Sandglasses + 5000 Shop Tickets 产品信息 交易时间 10分钟 Platform Android (Global) 1366 Lottery includes: 30 Pokémon Gold Bricks + 3000 Pack Sandglasses + 1000 Challenge Sandglasses + 5000 Shop Tickets + 2000 Cards | Random Reality Cards Stages 1-6 | Challenge Card Rewards: Random 0 Rounds verified_user 免费保险 14天 9.9k 可用库存 remove add 总额 1.67 USD 立即购买 thumb_up 0.00% 已售出0 AliceGame 用户等级 123 390 聊天 military_tech 100% 完单率 store 加入时间, 2023年12月4日 thumb_up 99.71% 全部评价 Epic Seller G2G是一个全面的游戏相关产品在线市场。我们致力于为游戏社区的利益创新。 © 2026 G2G.com 关于我们 服务条款 协议条款 隐私政策 帮助中心 日间模式",初始號；命中關鍵字：gold(+14)、pack(+4)；綜合表現中等，建議比對賣家評價後再決定,2026-04-02T17:43:03
(Global) 1366 Lottery includes: 30 Pokémon Gold Bricks + 3000 Pack Sandglasses + 1000 Challenge Sandglasses + 5000 Shop Tickets,AliceGame,1.67,53.44,2.67,56.11,12,初始號,https://www.g2g.com/categories/pokemon-tcg-pocket-accounts/offer/G1772757564724ES,USD,3.25,18,"Buy (Global) 1366 Lottery includes: 30 Pokémon Gold Bricks + 3000 Pack Sandglasses + 1000 Challenge Sandglasses + 5000 Shop Tickets from AliceGame | g2g.com | Buy safe TW 成为卖家 登录 / 注册 首页 > 游戏账号 > Pokemon TCG Pocket (Global) 1366 Lottery includes: 30 Pokémon Gold Bricks + 3000 Pack Sandglasses + 1000 Challenge Sandglasses + 5000 Shop Tickets 产品信息 交易时间 10分钟 Platform IOS (Global) 1366 Lottery includes: 30 Pokémon Gold Bricks + 3000 Pack Sandglasses + 1000 Challenge Sandglasses + 5000 Shop Tickets + 2000 Cards | Random Reality Cards Stages 1-6 | Challenge Card Rewards: Random 0 Rounds verified_user 免费保险 14天 9.9k 可用库存 remove add 总额 1.67 USD 立即购买 thumb_up 0.00% 已售出0 AliceGame 用户等级 123 390 聊天 military_tech 100% 完单率 store 加入时间, 2023年12月4日 thumb_up 99.71% 全部评价 Epic Seller G2G是一个全面的游戏相关产品在线市场。我们致力于为游戏社区的利益创新。 © 2026 G2G.com 关于我们 服务条款 协议条款 隐私政策 帮助中心 日间模式",初始號；命中關鍵字：gold(+14)、pack(+4)；綜合表現中等，建議比對賣家評價後再決定,2026-04-02T17:43:03
XB-02[Global]Random Crown×2 + Random Reality | 2400 Pack HG | 2000 Wonder HG | 35 Poke G | 1195 Draws | Banner×9 | Android&IOS,coinsgod,1.69,54.08,2.7,56.78,16,初始號,https://www.g2g.com/categories/pokemon-tcg-pocket-accounts/offer/G1744203591571MP,USD,3.35,24,"Buy XB-02[Global]Random Crown×2 + Random Reality | 2400 Pack HG | 2000 Wonder HG | 35 Poke G | 1195 Draws | Banner×9 | Android&IOS from coinsgod | g2g.com | Buy safe TW 成为卖家 登录 / 注册 首页 > 游戏账号 > Pokemon TCG Pocket XB-02[Global]Random Crown×2 + Random Reality | 2400 Pack HG | 2000 Wonder HG | 35 Poke G | 1195 Draws | Banner×9 | Android&IOS 产品信息 交易时间 10分钟 Platform Android XB-02[Global]Random Crown×2 + Random Reality | 2400 Pack HG | 2000 Wonder HG | 35 Poke G | 1195 Draws | Banner×9 | Android&IOS verified_user 免费保险 14天 99.9k 可用库存 remove add 总额 1.69 USD 立即购买 thumb_up 100.00% 已售出17 coinsgod 用户等级 124 424 聊天 military_tech 99.71% 完单率 store 加入时间, 2022年11月4日 thumb_up 99.62% 全部评价 Epic Seller G2G是一个全面的游戏相关产品在线市场。我们致力于为游戏社区的利益创新。 © 2026 G2G.com 关于我们 服务条款 协议条款 隐私政策 帮助中心 日间模式",初始號；命中關鍵字：crown(+20)、pack(+4)；綜合表現中等，建議比對賣家評價後再決定,2026-04-02T17:43:03
XB-02[Global]Random Crown×2 + Random Reality | 2400 Pack HG | 2000 Wonder HG | 35 Poke G | 1195 Draws | Banner×9 | Android&IOS,coinsgod,1.69,54.08,2.7,56.78,18,初始號,https://www.g2g.com/categories/pokemon-tcg-pocket-accounts/offer/G1744203629765VV,USD,3.35,28,"Buy XB-02[Global]Random Crown×2 + Random Reality | 2400 Pack HG | 2000 Wonder HG | 35 Poke G | 1195 Draws | Banner×9 | Android&IOS from coinsgod | g2g.com | Buy safe TW 成为卖家 登录 / 注册 首页 > 游戏账号 > Pokemon TCG Pocket XB-02[Global]Random Crown×2 + Random Reality | 2400 Pack HG | 2000 Wonder HG | 35 Poke G | 1195 Draws | Banner×9 | Android&IOS 产品信息 交易时间 10分钟 Platform IOS XB-02[Global]Random Crown×2 + Random Reality | 2400 Pack HG | 2000 Wonder HG | 35 Poke G | 1195 Draws | Banner×9 | Android&IOS The game language follows the phone settings, but the existing card language is Traditional Chinese (CHT). The new card language follows the phone settings and will not affect the game experience. 收回 verified_user 免费保险 14天 99.9k 可用库存 remove add 总额 1.69 USD 立即购买 thumb_up 0.00% 已售出7 coinsgod 用户等级 124 424 聊天 military_tech 99.71% 完单率 store 加入时间, 2022年11月4日 thumb_up 99.62% 全部评价 Epic Seller G2G是一个全面的游戏相关产品在线市场。我们致力于为游戏社区的利益创新。 © 2026 G2G.com 关于我们 服务条款 协议条款 隐私政策 帮助中心 日间模式",初始號；命中關鍵字：crown(+20)、ex(+4)、pack(+4)；綜合表現中等，建議比對賣家評價後再決定,2026-04-02T17:43:03
(Global) 20 Gold Bars | 1000 Pikachu Energy | 700 Time Energy | 240 Shopping Points | Reroll Account | Starter Account,doduythai,1.7,54.4,2.72,57.12,20,初始號,https://www.g2g.com/categories/pokemon-tcg-pocket-accounts/offer/G1744656942286WK,USD,3.39,31,"Buy (Global) 20 Gold Bars | 1000 Pikachu Energy | 700 Time Energy | 240 Shopping Points | Reroll Account | Starter Account from doduythai | g2g.com | Buy safe TW 成为卖家 登录 / 注册 首页 > 游戏账号 > Pokemon TCG Pocket (Global) 20 Gold Bars | 1000 Pikachu Energy | 700 Time Energy | 240 Shopping Points | Reroll Account | Starter Account 产品信息 交易时间 10分钟 Platform Android Account Details: Game: Pokémon Trading Card Game Pocket Server: Global Platform: Mobile (iOS & Android) Account Type: Starter Account | Reroll Account Available Resources: 20 Gold Bars – Premium currency for in-game purchases 1000 Pikachu Energy – Used for various gameplay activities 700 Time Energy – Essential for progressing in the game 240 Shopping Points – Redeemable for valuable items Note: Card information will be in Chinese language and cannot be changed (game language is still English) Key Features: Exclusive Mew-themed card skin included Fresh, unused, and unlinked account – Safe to link to your own device Fast and secure delivery 收回 verified_user 免费保险 14天 9.9k 可用库存 remove add 总额 1.70 USD 立即购买 thumb_up 0.00% 已售出0 doduythai 用户等级 94 36 聊天 military_tech 99.89% 完单率 store 加入时间, 2025年2月27日 thumb_up 99.89% 全部评价 Common Seller G2G是一个全面的游戏相关产品在线市场。我们致力于为游戏社区的利益创新。 © 2026 G2G.com 关于我们 服务条款 协议条款 隐私政策 帮助中心 日间模式",初始號；命中關鍵字：gold(+14)、ur(+8)、pikachu(+5)；綜合表現中等，建議比對賣家評價後再決定,2026-04-02T17:43:03
【Global】2400 Pack Hourglass|2000 Challenge Hourglass|35 pokes gold| Random 2 Crown card,CNLTeam,1.7,54.4,2.72,57.12,29,初始號,https://www.g2g.com/categories/pokemon-tcg-pocket-accounts/offer/G1730879270169TN,USD,3.39,46,"Buy 【Global】2400 Pack Hourglass|2000 Challenge Hourglass|35 pokes gold| Random 2 Crown card from CNLTeam | g2g.com | Buy safe TW 成为卖家 登录 / 注册 首页 > 游戏账号 > Pokemon TCG Pocket 【Global】2400 Pack Hourglass|2000 Challenge Hourglass|35 pokes gold| Random 2 Crown card 产品信息 交易时间 10分钟 Platform Android All platform - Available for IOS and Android Nintendo Account Initial language cannot be changed ----------------------------------------- We are the best in the price range you can buy and trust us. We are online 24/7, please message us when you need us 收回 verified_user 免费保险 14天 82 可用库存 remove add 总额 1.70 USD 立即购买 thumb_up 100.00% 已售出35 CNLTeam 用户等级 173 15.7k 聊天 military_tech 98.19% 完单率 store 加入时间, 2017年11月6日 thumb_up 99.11% 全部评价 Legendary Seller G2G是一个全面的游戏相关产品在线市场。我们致力于为游戏社区的利益创新。 © 2026 G2G.com 关于我们 服务条款 协议条款 隐私政策 帮助中心 日间模式",初始號；命中關鍵字：crown(+20)、gold(+14)、ur(+8)；綜合表現中等，建議比對賣家評價後再決定,2026-04-02T17:43:03
"Global Server | Random Phase 8 | 1008 Pulls Includes: 35x Golden Transfer Tickets, 2000x Gacha Tickets, 1700x Challenge Tickets",HaloShop,1.7,54.4,2.72,57.12,22,初始號,https://www.g2g.com/categories/pokemon-tcg-pocket-accounts/offer/G1770188499910LA,USD,3.39,34,"Buy Global Server | Random Phase 8 | 1008 Pulls Includes: 35x Golden Transfer Tickets, 2000x Gacha Tickets, 1700x Challenge Tickets from HaloShop | g2g.com | Buy safe TW 成为卖家 登录 / 注册 首页 > 游戏账号 > Pokemon TCG Pocket Global Server | Random Phase 8 | 1008 Pulls Includes: 35x Golden Transfer Tickets, 2000x Gacha Tickets, 1700x Challenge Tickets 产品信息 交易时间 10分钟 Platform Android Global Server | Random Phase 8 | 1008 Pulls Includes: 35x Golden Transfer Tickets, 2000x Gacha Tickets, 1700x Challenge Tickets Guaranteed: Random Crown Card x2 + Random Story Card verified_user 免费保险 14天 1 可用库存 remove add 总额 1.70 USD 立即购买 thumb_up 0.00% 已售出0 HaloShop 用户等级 36 3 聊天 military_tech 100% 完单率 store 加入时间, 2025年8月20日 thumb_up 99.14% 全部评价 Normal Seller G2G是一个全面的游戏相关产品在线市场。我们致力于为游戏社区的利益创新。 © 2026 G2G.com 关于我们 服务条款 协议条款 隐私政策 帮助中心 日间模式",初始號；命中關鍵字：crown(+20)、gold(+14)；綜合表現中等，建議比對賣家評價後再決定,2026-04-02T17:43:03
(Global) 20 Gold Bars | 1000 Pikachu Energy | 700 Time Energy | 240 Shopping Points | Reroll Account | Starter Account,doduythai,1.7,54.4,2.72,57.12,20,初始號,https://www.g2g.com/categories/pokemon-tcg-pocket-accounts/offer/G1744656952918JN,USD,3.39,31,"Buy (Global) 20 Gold Bars | 1000 Pikachu Energy | 700 Time Energy | 240 Shopping Points | Reroll Account | Starter Account from doduythai | g2g.com | Buy safe TW 成为卖家 登录 / 注册 首页 > 游戏账号 > Pokemon TCG Pocket (Global) 20 Gold Bars | 1000 Pikachu Energy | 700 Time Energy | 240 Shopping Points | Reroll Account | Starter Account 产品信息 交易时间 10分钟 Platform IOS Account Details: Game: Pokémon Trading Card Game Pocket Server: Global Platform: Mobile (iOS & Android) Account Type: Starter Account | Reroll Account Available Resources: 20 Gold Bars – Premium currency for in-game purchases 1000 Pikachu Energy – Used for various gameplay activities 700 Time Energy – Essential for progressing in the game 240 Shopping Points – Redeemable for valuable items Note: Card information will be in Chinese language and cannot be changed (game language is still English) Key Features: Exclusive Mew-themed card skin included Fresh, unused, and unlinked account – Safe to link to your own device Fast and secure delivery 收回 verified_user 免费保险 14天 9.9k 可用库存 remove add 总额 1.70 USD 立即购买 thumb_up 0.00% 已售出0 doduythai 用户等级 94 36 聊天 military_tech 99.89% 完单率 store 加入时间, 2025年2月27日 thumb_up 99.89% 全部评价 Common Seller G2G是一个全面的游戏相关产品在线市场。我们致力于为游戏社区的利益创新。 © 2026 G2G.com 关于我们 服务条款 协议条款 隐私政策 帮助中心 日间模式",初始號；命中關鍵字：gold(+14)、ur(+8)、pikachu(+5)；綜合表現中等，建議比對賣家評價後再決定,2026-04-02T17:43:03
[Global] (CHT) 30 Pokémon Gold Diamonds | 3000 Pack Sands | 1000 Challenge Sands | 5000 Shop Vouchers | 2000 Cards | Android & i,AliceGame,1.71,54.72,2.74,57.46,12,初始號,https://www.g2g.com/categories/pokemon-tcg-pocket-accounts/offer/G1769584558614TG,USD,3.44,18,"Buy [Global] (CHT) 30 Pokémon Gold Diamonds | 3000 Pack Sands | 1000 Challenge Sands | 5000 Shop Vouchers | 2000 Cards | Android & i from AliceGame | g2g.com | Buy safe TW 成为卖家 登录 / 注册 首页 > 游戏账号 > Pokemon TCG Pocket [Global] (CHT) 30 Pokémon Gold Diamonds | 3000 Pack Sands | 1000 Challenge Sands | 5000 Shop Vouchers | 2000 Cards | Android & i 产品信息 交易时间 10分钟 Platform IOS [Global] (CHT) 30 Pokémon Gold Diamonds | 3000 Pack Sands | 1000 Challenge Sands | 5000 Shop Vouchers | 2000 Cards | Android & iOS verified_user 免费保险 14天 9.9k 可用库存 remove add 总额 1.71 USD 立即购买 thumb_up 100.00% 已售出1 AliceGame 用户等级 123 390 聊天 military_tech 100% 完单率 store 加入时间, 2023年12月4日 thumb_up 99.71% 全部评价 Epic Seller G2G是一个全面的游戏相关产品在线市场。我们致力于为游戏社区的利益创新。 © 2026 G2G.com 关于我们 服务条款 协议条款 隐私政策 帮助中心 日间模式",初始號；命中關鍵字：gold(+14)、pack(+4)；綜合表現中等，建議比對賣家評價後再決定,2026-04-02T17:43:03
[Global] (CHT) 30 Pokémon Gold Diamonds | 3000 Pack Sands | 1000 Challenge Sands | 5000 Shop Vouchers | 2000 Cards | Android & i,AliceGame,1.71,54.72,2.74,57.46,12,初始號,https://www.g2g.com/categories/pokemon-tcg-pocket-accounts/offer/G1769584728029YD,USD,3.44,18,"Buy [Global] (CHT) 30 Pokémon Gold Diamonds | 3000 Pack Sands | 1000 Challenge Sands | 5000 Shop Vouchers | 2000 Cards | Android & i from AliceGame | g2g.com | Buy safe TW 成为卖家 登录 / 注册 首页 > 游戏账号 > Pokemon TCG Pocket [Global] (CHT) 30 Pokémon Gold Diamonds | 3000 Pack Sands | 1000 Challenge Sands | 5000 Shop Vouchers | 2000 Cards | Android & i 产品信息 交易时间 10分钟 Platform Android [Global] (CHT) 30 Pokémon Gold Diamonds | 3000 Pack Sands | 1000 Challenge Sands | 5000 Shop Vouchers | 2000 Cards | Android & iOS verified_user 免费保险 14天 9.9k 可用库存 remove add 总额 1.71 USD 立即购买 thumb_up 0.00% 已售出0 AliceGame 用户等级 123 390 聊天 military_tech 100% 完单率 store 加入时间, 2023年12月4日 thumb_up 99.71% 全部评价 Epic Seller G2G是一个全面的游戏相关产品在线市场。我们致力于为游戏社区的利益创新。 © 2026 G2G.com 关于我们 服务条款 协议条款 隐私政策 帮助中心 日间模式",初始號；命中關鍵字：gold(+14)、pack(+4)；綜合表現中等，建議比對賣家評價後再決定,2026-04-02T17:43:03
[CHT] Pokémon Gold & Diamond 30 / Hourglass 3000 from Pack Opening / Hourglass 1000 from Challenge / Shop Ticket 5000 /,Freesinging,1.73,55.36,2.77,58.13,17,初始號,https://www.g2g.com/categories/pokemon-tcg-pocket-accounts/offer/G1740455848868MH,USD,3.53,26,"Buy [CHT] Pokémon Gold & Diamond 30 / Hourglass 3000 from Pack Opening / Hourglass 1000 from Challenge / Shop Ticket 5000 / from Freesinging | g2g.com | Buy safe TW 成为卖家 登录 / 注册 首页 > 游戏账号 > Pokemon TCG Pocket [CHT] Pokémon Gold & Diamond 30 / Hourglass 3000 from Pack Opening / Hourglass 1000 from Challenge / Shop Ticket 5000 / 产品信息 交易时间 立即 交易方式 自动发货 Platform Android [CHT] Pokémon Gold & Diamond 30 / Hourglass 3000 from Pack Opening / Hourglass 1000 from Challenge / Shop Ticket 5000 / Card 2000 / Android & iOS verified_user 免费保险 14天 1 可用库存 remove add 总额 1.73 USD 立即购买 thumb_up 0.00% 已售出4 Freesinging 用户等级 105 116 聊天 military_tech 99.67% 完单率 store 加入时间, 2025年2月20日 thumb_up 98.72% 全部评价 Rare Seller G2G是一个全面的游戏相关产品在线市场。我们致力于为游戏社区的利益创新。 © 2026 G2G.com 关于我们 服务条款 协议条款 隐私政策 帮助中心 日间模式",初始號；命中關鍵字：gold(+14)、ur(+8)、pack(+4)；綜合表現中等，建議比對賣家評價後再決定,2026-04-02T17:43:03
